proposal_id,record_id,directive_combination_id,action,target_file,production_current_status,proposed_status,requires_branch_pr,source_id,reason,blocked_by,notes
G12-P001,PROD005,combo-dfefd127bd763a7f,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P002,PROD006,combo-0ecf90b225de5655,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P003,PROD007,combo-9a2386cd2b75a4e6,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P004,PROD008,combo-e40bb97d9f1e47b9,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P005,PROD009,combo-3eaa74735cde40e9,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P006,PROD010,combo-33eb572ed2333865,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P007,PROD011,combo-7e352e5cfbe42e8d,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P008,PROD012,combo-1cbc7e840d413016,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P009,PROD013,combo-5a7da977c7dbdf3f,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P010,PROD014,combo-4b39a8327f6144e5,MARK_CALIBRATION_INELIGIBLE,data/benchmark.csv,CURRENT_PRODUCTION_ONTOLOGY_ERROR,PROPOSED_ONLY,True,SRC002,Current production row is non-CV steady-state evidence and should not feed CV/onset profiles.,"Camarada Table 5 values come from slow steady-state polarization curves, not ordinary CV onset.",Retained only as monomer_oxidation_onset; do not combine with explicit peak rows.
G12-P011,R11,combo-d8f6d8ef29997832,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,STAGING_REVIEW_ONLY,PROPOSED_ONLY,False,SRC006,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Mixed ACN/DCM pseudo-reference row remains staging-only for master closure.,"No source formula was provided; retained analytical locator for human review. Analytical locator: Sections 2.2.4-2.2.6; 1H and 13C NMR only. No DOI found, but durable article/PDF provenance is recorded. Approved reference conversion reproduced exactly."
G12-P012,R12,combo-3a92aee5a6367238,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,STAGING_REVIEW_ONLY,PROPOSED_ONLY,False,SRC006,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Mixed ACN/DCM pseudo-reference row remains staging-only for master closure.,"No source formula was provided; retained analytical locator for human review. Analytical locator: Sections 2.2.4-2.2.6; 1H and 13C NMR only. No DOI found, but durable article/PDF provenance is recorded. Approved reference conversion reproduced exactly."
G12-P013,R13,combo-6fc1d352f3578f22,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,STAGING_REVIEW_ONLY,PROPOSED_ONLY,False,SRC006,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Mixed ACN/DCM pseudo-reference row remains staging-only for master closure.,"No source formula was provided; retained analytical locator for human review. Analytical locator: Sections 2.2.4-2.2.6; 1H and 13C NMR only. No DOI found, but durable article/PDF provenance is recorded. Approved reference conversion reproduced exactly."
G12-P014,R14,combo-5383a50a9635fdc9,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,STAGING_REVIEW_ONLY,PROPOSED_ONLY,False,SRC013,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.","source reference conflict unresolved: Section 2.3 reports Ag wire = 0.03 V vs SCE, whereas Table 2 footnote (b) uses a +0.02 V reference correction.",Source formula/HRMS formula agrees with RDKit formula. HRMS calcd 759.3892; found 759.3887 Approved reference conversion reproduced exactly. Source-internal conflict is unresolved; numeric values are retained as working transcriptions for audit only.
G12-P015,R15,combo-79857574e55491e4,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,STAGING_REVIEW_ONLY,PROPOSED_ONLY,False,SRC013,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.","source reference conflict unresolved: Section 2.3 reports Ag wire = 0.03 V vs SCE, whereas Table 2 footnote (b) uses a +0.02 V reference correction.",Source formula/HRMS formula agrees with RDKit formula. HRMS calcd 871.5144; found 871.5138 Approved reference conversion reproduced exactly. Source-internal conflict is unresolved; numeric values are retained as working transcriptions for audit only.
G12-P016,R16,combo-11d2559c86a019c1,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,STAGING_REVIEW_ONLY,PROPOSED_ONLY,False,SRC013,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.","source reference conflict unresolved: Section 2.3 reports Ag wire = 0.03 V vs SCE, whereas Table 2 footnote (b) uses a +0.02 V reference correction.",Source formula/HRMS formula agrees with RDKit formula. HRMS calcd 959.5668; found 959.5664 Approved reference conversion reproduced exactly. Source-internal conflict is unresolved; numeric values are retained as working transcriptions for audit only.
G12-P017,R17,combo-478075edb5962e7d,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,STAGING_REVIEW_ONLY,PROPOSED_ONLY,False,SRC013,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.","source reference conflict unresolved: Section 2.3 reports Ag wire = 0.03 V vs SCE, whereas Table 2 footnote (b) uses a +0.02 V reference correction.",Source formula/HRMS formula agrees with RDKit formula. HRMS calcd 875.4002; found 875.3996 Approved reference conversion reproduced exactly. Source-internal conflict is unresolved; numeric values are retained as working transcriptions for audit only.
G12-P018,R18,combo-e3cd661ac58adc21,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,STAGING_REVIEW_ONLY,PROPOSED_ONLY,False,SRC005,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.","source reference conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M.; source condition conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M.",No source formula was provided; retained analytical locator for human review. Analytical locator: Supplementary monomer NMR only (Figures S2-S5 as listed on publisher page). Approved reference conversion reproduced exactly. Source-internal conflict is unresolved; numeric values are retained as working transcriptions for audit only.
G12-P019,R19,combo-abfa1eebbb95eb56,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,STAGING_REVIEW_ONLY,PROPOSED_ONLY,False,SRC005,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.","source reference conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M.; source condition conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M.",No source formula was provided; retained analytical locator for human review. Analytical locator: Supplementary monomer NMR only (Figures S2-S5 as listed on publisher page). Approved reference conversion reproduced exactly. Source-internal conflict is unresolved; numeric values are retained as working transcriptions for audit only.
G12-P020,R20,combo-f97becc31f97ae7c,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,STAGING_REVIEW_ONLY,PROPOSED_ONLY,False,SRC005,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.","source reference conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M.; source condition conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M.",No source formula was provided; retained analytical locator for human review. Analytical locator: Supplementary monomer NMR only (Figures S2-S5 as listed on publisher page). Approved reference conversion reproduced exactly. Source-internal conflict is unresolved; numeric values are retained as working transcriptions for audit only.
G12-P021,R21,combo-f211317847fc4052,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,STAGING_REVIEW_ONLY,PROPOSED_ONLY,False,SRC005,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.","source reference conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M.; source condition conflict unresolved: Figure 1 caption reports Ag wire = 0.03 V vs SCE, whereas Table 1 footnote (b) uses +0.02 V; Section 3.1 reports 0.1 M TBAPF6, whereas Figure 1 caption reports 0.2 M.",No source formula was provided; retained analytical locator for human review. Analytical locator: Supplementary monomer NMR only (Figures S2-S5 as listed on publisher page). Approved reference conversion reproduced exactly. Source-internal conflict is unresolved; numeric values are retained as working transcriptions for audit only.
G12-P022,EXT_ALKYNEDTP_ONSET,combo-968a038fad82a4eb,ADD_NEW_BENCHMARK_ROW,data/benchmark.csv,EXTERNAL_EVIDENCE_READY,PROPOSED_ONLY,True,SRC001,Clean direct-Ag/AgCl CV onset evidence is ready for a separate production-ingest review.,,"Exact structure, first-cycle onset, MeCN/TBAPF6, and Ag/AgCl are all supported."
G12-P023,EXT_BIFURAN_POLARIZATION,combo-36521627d0380f92,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC014,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.","Method is anodic polarization, not clean CV.",Classified by actual method despite onset wording.
G12-P024,EXT_BTP_ONSET,combo-4e6fb4d011ad492e,ADD_NEW_BENCHMARK_ROW,data/benchmark.csv,EXTERNAL_EVIDENCE_READY,PROPOSED_ONLY,True,SRC007,Clean direct-Ag/AgCl CV onset evidence is ready for a separate production-ingest review.,,Direct-Ag/AgCl onset is separate from Camarada steady-state BTP row.
G12-P025,EXT_DTC_ONSET,combo-64f0f2ed5b958169,ADD_NEW_BENCHMARK_ROW,data/benchmark.csv,EXTERNAL_EVIDENCE_READY,PROPOSED_ONLY,True,SRC007,Clean direct-Ag/AgCl CV onset evidence is ready for a separate production-ingest review.,,Clean direct-Ag/AgCl monomer onset.
G12-P026,EXT_DTPNAP_ONSET,combo-17d8936d9ba27ddc,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC001,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Exact machine-auditable DTPNap structure not normalized in this review-only audit.,Provenance retained for later manual normalization.
G12-P027,EXT_EDOS_ACN_TBABF4,combo-c5cc75a6e6fb45c2,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC012,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Ag/Ag+ reference is unresolved for current Ag/AgCl profile.,Preserve native values; do not force-convert.
G12-P028,EXT_EDOS_ACN_TBACLO4,combo-9d3a18fe85bbabf2,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC012,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Ag/Ag+ reference is unresolved for current Ag/AgCl profile.,Preserve native values; do not force-convert.
G12-P029,EXT_EDOS_ACN_TBAPF6,combo-ae9077a3766f82db,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC012,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Ag/Ag+ reference is unresolved for current Ag/AgCl profile.,Preserve native values; do not force-convert.
G12-P030,EXT_EDOS_PC_TBABF4,combo-528282e7ff58b307,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC012,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Ag/Ag+ reference is unresolved for current Ag/AgCl profile.,Preserve native values; do not force-convert.
G12-P031,EXT_EDOS_PC_TBACLO4,combo-43126403ddb37793,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC012,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Ag/Ag+ reference is unresolved for current Ag/AgCl profile.,Preserve native values; do not force-convert.
G12-P032,EXT_EDOS_PC_TBAPF6,combo-fb669a678d778229,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC012,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Ag/Ag+ reference is unresolved for current Ag/AgCl profile.,Preserve native values; do not force-convert.
G12-P033,EXT_FUPY_ONSET,combo-6b1146c2c46d2fc1,ADD_NEW_BENCHMARK_ROW,data/benchmark.csv,EXTERNAL_EVIDENCE_READY,PROPOSED_ONLY,True,SRC008,Clean direct-Ag/AgCl CV onset evidence is ready for a separate production-ingest review.,,Clean first-scan monomer onset with same-experiment reference calibration.
G12-P034,EXT_FURAN_POLARIZATION,combo-ad7b72f00429505d,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC014,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.","Method is anodic polarization, not clean CV.",Classified by actual method despite onset wording.
G12-P035,EXT_IJMS2023_IDOD_3HT,combo-36ee4ac717a8daa2,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC003,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Exact per-monomer Eonset values and structures require manual table normalization.,Provenance retained for later manual normalization.
G12-P036,EXT_IJMS2023_IDOD_Th,combo-cd5494f23c2a69e2,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC003,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Exact per-monomer Eonset values and structures require manual table normalization.,Provenance retained for later manual normalization.
G12-P037,EXT_IJMS2023_IDOH_3HT,combo-d954a62767256f9e,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC003,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Exact per-monomer Eonset values and structures require manual table normalization.,Provenance retained for later manual normalization.
G12-P038,EXT_IJMS2023_IDOH_Th,combo-07c9251ef16159be,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC003,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Exact per-monomer Eonset values and structures require manual table normalization.,Provenance retained for later manual normalization.
G12-P039,EXT_JELECHEM2015_PAYWALLED,combo-b141784057ac7ebd,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC004,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",No lawful open PDF was retrieved; do not use for production ingest.,Provenance retained for later manual normalization.
G12-P040,EXT_NANO2024_CBP,combo-337dc6e0e486e12e,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC009,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Ag/AgNO3 reference unresolved for current Ag/AgCl profile.,Retain as provenance only.
G12-P041,EXT_NANO2024_TCB,combo-7ef15fde40e7aa37,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC009,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Ag/AgNO3 reference unresolved for current Ag/AgCl profile.,Retain as provenance only.
G12-P042,EXT_NANO2024_TPTCzSiOH,combo-9d8c4a67c9a33b34,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC009,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Ag/AgNO3 reference unresolved for current Ag/AgCl profile.,Retain as provenance only.
G12-P043,EXT_NANO2025_3BD_EDOT,combo-c31ea9a1d6d882e3,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC010,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Method is anodic polarization and structures are not normalized here.,Do not treat as clean CV onset.
G12-P044,EXT_NANO2025_4BD_EDOT,combo-459c398a9d7df94a,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC010,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Method is anodic polarization and structures are not normalized here.,Do not treat as clean CV onset.
G12-P045,EXT_TERFURAN_POLARIZATION,combo-8f77171af493b8a1,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC014,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.","Method is anodic polarization, not clean CV.",Classified by actual method despite onset wording.
G12-P046,EXT_TF_ONSET,combo-4704d73795c09a38,ADD_NEW_BENCHMARK_ROW,data/benchmark.csv,EXTERNAL_EVIDENCE_READY,PROPOSED_ONLY,True,SRC007,Clean direct-Ag/AgCl CV onset evidence is ready for a separate production-ingest review.,,Clean direct-Ag/AgCl monomer onset.
G12-P047,EXT_THINSOLID2012_PAYWALLED,combo-078dff7ff238a6df,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC011,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",No lawful open PDF was retrieved; do not use for production ingest.,Provenance retained for later manual normalization.
G12-P048,EXT_ZHU_M1,combo-3ea151fc90a4424a,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC015,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Mixed-solvent native-Fc row stays parked; no MeCN Fc conversion applied.,Native-Fc track remains separate from current Ag/AgCl pipeline.
G12-P049,EXT_ZHU_M10,combo-fa161b9fdc5d12c4,REJECT,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC015,Source or method explicitly blocks benchmark use.,Source states M10 was not easily electropolymerized; reject for benchmark ingest.,Native-Fc track remains separate from current Ag/AgCl pipeline.
G12-P050,EXT_ZHU_M2,combo-1be7a464d4f8f099,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC015,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Mixed-solvent native-Fc row stays parked; no MeCN Fc conversion applied.,Native-Fc track remains separate from current Ag/AgCl pipeline.
G12-P051,EXT_ZHU_M3,combo-026468a3ba7b523e,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC015,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Mixed-solvent native-Fc row stays parked; no MeCN Fc conversion applied.,Native-Fc track remains separate from current Ag/AgCl pipeline.
G12-P052,EXT_ZHU_M4,combo-9423dbcc19e29d46,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC015,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Exact machine-auditable structure not normalized; retain native Fc track only.,Native-Fc track remains separate from current Ag/AgCl pipeline.
G12-P053,EXT_ZHU_M5,combo-6e6c66005115a4f3,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC015,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Exact machine-auditable structure not normalized; retain native Fc track only.,Native-Fc track remains separate from current Ag/AgCl pipeline.
G12-P054,EXT_ZHU_M6,combo-7cf670ae95a968a8,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC015,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Exact machine-auditable structure not normalized; retain native Fc track only.,Native-Fc track remains separate from current Ag/AgCl pipeline.
G12-P055,EXT_ZHU_M7,combo-56bac97cda52964d,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC015,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Mixed-solvent native-Fc row stays parked; no MeCN Fc conversion applied.,Native-Fc track remains separate from current Ag/AgCl pipeline.
G12-P056,EXT_ZHU_M8,combo-08831469f38842a5,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC015,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Mixed-solvent native-Fc row stays parked; no MeCN Fc conversion applied.,Native-Fc track remains separate from current Ag/AgCl pipeline.
G12-P057,EXT_ZHU_M9,combo-814fed363d566f68,PARK,data/lit_curation/eox_g1_2_master_evidence.csv,EXTERNAL_EVIDENCE_BLOCKED,PROPOSED_ONLY,False,SRC015,"Evidence is retained but blocked by method, reference, structure, mixed solvent, or provenance.",Exact machine-auditable structure not normalized; retain native Fc track only.,Native-Fc track remains separate from current Ag/AgCl pipeline.
